dataset, lr, local_loss, local_binary_accuracy, central_loss, central_binary_accuracy
semantic140, 1e-04, 0.643670431375504, 0.6367011204361919, 0.5182007551193237, 0.7325500845909119
semantic140, 0.0005, 0.6247883597016337, 0.6410257786512378, 0.4914764165878296, 0.758811354637146
semantic140, 0.001, 0.6129025942087172, 0.7081009855866437, 0.4922565817832947, 0.7691776156425476
semantic140, 0.005, 0.6165162049420181, 0.6422942964732647, 0.4934180676937103, 0.7601935267448425
semantic140, 0.01, 0.6088454578071832, 0.6679851394891738, 0.4713744819164276, 0.7636489272117615
semantic140, 0.05, 0.5964777206443251, 0.7048778727650642, 0.4957043528556824, 0.7553558945655823
semantic140, 0.1, 0.5855069571454081, 0.7242602244019509, 0.45979106426239014, 0.7753973603248596
semantic140, 0.5, 0.5910408871108669, 0.7235300432145599, 0.46848729252815247, 0.7664132714271545
semantic140, 1.0, 0.5727814755348484, 0.720993812978268, 0.4622635841369629, 0.7802349925041199
semantic140, 1e-04, 0.649815071821213, 0.6192630801349882, 0.5322783589363098, 0.7353144288063049
semantic140, 0.0005, 0.6278449323773392, 0.653069699779153, 0.47578155994415283, 0.7760884761810303
semantic140, 0.001, 0.6144677165150643, 0.6452900250256062, 0.49169453978538513, 0.7595024108886719
semantic140, 0.005, 0.6134688832797113, 0.6176986268907787, 0.4895551800727844, 0.7539737224578857
semantic140, 0.01, 0.5880239025037737, 0.6433463910222056, 0.4864363968372345, 0.7449896335601807
semantic140, 0.05, 0.6064375347457828, 0.6546134144067766, 0.4379969835281372, 0.7850725650787354
semantic140, 0.1, 0.6008337559600565, 0.7179879942536356, 0.46191272139549255, 0.7788528203964233
semantic140, 0.5, 0.5890137781121304, 0.7125133781135085, 0.46792924404144287, 0.7664132714271545
